Period ,lnncp
04-07-2023,-8346.64
05-07-2023,-6481.04
06-07-2023,-1651.33
07-07-2023,-145.5
08-07-2023,-4172.57
09-07-2023,-5558.36
10-07-2023,-1415.52
11-07-2023,-1103.64
12-07-2023,-303.68
13-07-2023,-5541.57
14-07-2023,-6309.8
15-07-2023,-9344.98
16-07-2023,-11835.35
17-07-2023,-14401.17
18-07-2023,-1748.69
19-07-2023,-1000.46
20-07-2023,-6810.05
21-07-2023,-263.98
22-07-2023,-5442.76
23-07-2023,-2037.85
24-07-2023,-341.94
25-07-2023,-1659.15
26-07-2023,-2042.22
27-07-2023,-421.93
28-07-2023,-10113.66
29-07-2023,-4446.17
30-07-2023,-6452.77
31-07-2023,-596.16
01-08-2023,-12904.66
02-08-2023,-9062.4
03-08-2023,-611.86
04-08-2023,-8670.53
05-08-2023,-5307.74
06-08-2023,-6921.48
07-08-2023,-1475.46
08-08-2023,-112.76
09-08-2023,-5669.66
10-08-2023,-4057.1
11-08-2023,-1585.98
12-08-2023,-6825.55
13-08-2023,-5516.5
14-08-2023,-5343.3
15-08-2023,-903.05
16-08-2023,-1806.16
17-08-2023,-787.74
18-08-2023,-2429.68
19-08-2023,-770.37
20-08-2023,-1182.77
21-08-2023,-14464.3
22-08-2023,-12046.3
23-08-2023,-7885.64
24-08-2023,-7328.52
25-08-2023,-3210.39
26-08-2023,-5726.2
27-08-2023,-1363.65
28-08-2023,-7873.28
29-08-2023,-5674.32
30-08-2023,-7486.63
31-08-2023,-7264.79
01-09-2023,-2762.48
02-09-2023,-6675.03
03-09-2023,-7432.99
04-09-2023,-1057
05-09-2023,-5956.89
06-09-2023,-7261.59
07-09-2023,-4943.16
08-09-2023,-8127.48
09-09-2023,-1748.02
10-09-2023,-9660.22
11-09-2023,-6371.51
12-09-2023,-9442.47
13-09-2023,-13531.22
14-09-2023,-11500.62
15-09-2023,-1389.37
16-09-2023,-6706.56
17-09-2023,-420.67
18-09-2023,-7323.53
19-09-2023,-8395.85
20-09-2023,-7945.57
21-09-2023,-5873.54
22-09-2023,-6155.76
23-09-2023,-8318.29
24-09-2023,-230.09
25-09-2023,-2513.56
26-09-2023,-10090.05
27-09-2023,-480.19
28-09-2023,-1120.88
29-09-2023,-370.81
30-09-2023,-13498.55
01-10-2023,-14804.7
02-10-2023,-14942.78
03-10-2023,-14143.32
04-10-2023,-3313.07
05-10-2023,-829.71
06-10-2023,-13475.14
07-10-2023,-714.45
08-10-2023,-1306.91
09-10-2023,-1153.84
10-10-2023,-8709.77
11-10-2023,-857.9
12-10-2023,-2812.06
13-10-2023,-6179.91
14-10-2023,-3484.32
15-10-2023,-754.21
16-10-2023,-751.09
17-10-2023,-1508.72
18-10-2023,-511.37
19-10-2023,-12648.32
20-10-2023,-1092.92
21-10-2023,-6711.15
22-10-2023,-6994.34
23-10-2023,-7071.09
24-10-2023,-9045.19
25-10-2023,-9642.12
26-10-2023,-7460.33
27-10-2023,-4233.82
28-10-2023,-8303.9
29-10-2023,-314.28
30-10-2023,-5241.23
31-10-2023,-6863.06
01-11-2023,-3877.73
02-11-2023,-4046.58
03-11-2023,-2409.73
04-11-2023,-5211.88
05-11-2023,-6217.86
06-11-2023,-5978.12
07-11-2023,-14611.9
08-11-2023,-8253.52
09-11-2023,-4489.79
10-11-2023,-816.08
11-11-2023,-578.06
12-11-2023,-477.3
13-11-2023,-3133.85
14-11-2023,-5894.09
15-11-2023,-9532.42
16-11-2023,-5327.03
17-11-2023,-2000.6
18-11-2023,-6827.57
19-11-2023,-1633.76
20-11-2023,-4069.17
21-11-2023,-1882.77
22-11-2023,-12526.71
23-11-2023,-4737.84
24-11-2023,-2300.53
25-11-2023,-12385.05
26-11-2023,-2047.83
27-11-2023,-10008.33
28-11-2023,-2299.64
29-11-2023,-243.92
30-11-2023,-14473.33
01-12-2023,-1533.32
02-12-2023,-7005.05
03-12-2023,-955.4
04-12-2023,-7844.88
05-12-2023,-221.56
06-12-2023,-6586.19
07-12-2023,-3944.82
08-12-2023,-1127.98
09-12-2023,-2626.63
10-12-2023,-6459.38
11-12-2023,-6939.23
12-12-2023,-9033.87
13-12-2023,-14365.18
14-12-2023,-10115.18
15-12-2023,-7358.65
16-12-2023,-4438.03
17-12-2023,-1176.1
18-12-2023,-5427.98
19-12-2023,-3653.11
20-12-2023,-2104.82
21-12-2023,-1802.77
22-12-2023,-3559.96
23-12-2023,-3564.8
24-12-2023,-6752.92
25-12-2023,-1444.75
26-12-2023,-10788.89
27-12-2023,-2235.7
28-12-2023,-12893.63
29-12-2023,-2798.15
30-12-2023,-3583.67
31-12-2023,-2120.8
01-01-2024,-3085.38
02-01-2024,-6797.71
03-01-2024,-746.47
04-01-2024,-5427.81
05-01-2024,-7467.3
06-01-2024,-6362.16
07-01-2024,-8345.26
08-01-2024,-1305.76
09-01-2024,-13648.36
10-01-2024,-1337.5
11-01-2024,-2015.69
12-01-2024,-8354.54
13-01-2024,-11822.53
14-01-2024,-587.11
15-01-2024,-5422.53
16-01-2024,-1913.73
17-01-2024,-4693.6
18-01-2024,-464.2
19-01-2024,-4363.74
20-01-2024,-3319.76
21-01-2024,-4356.98
22-01-2024,-1519.35
23-01-2024,-5962.58
24-01-2024,-822.73
25-01-2024,-867.32
26-01-2024,-1035.86
27-01-2024,-13347.69
28-01-2024,-8478.9
29-01-2024,-11088.95
30-01-2024,-6280.66
31-01-2024,-481.13
01-02-2024,-8431.23
02-02-2024,-7182.22
03-02-2024,-1692.15
04-02-2024,-1695.57
05-02-2024,-6264.21
06-02-2024,-8497.34
07-02-2024,-1272.12
08-02-2024,-3959.62
09-02-2024,-476.19
10-02-2024,-3117.39
11-02-2024,-7697.68
12-02-2024,-7580.59
13-02-2024,-7936.91
14-02-2024,-6642.33
15-02-2024,-136.74
16-02-2024,-319.84
17-02-2024,-8126.06
18-02-2024,-705.75
19-02-2024,-5331.57
20-02-2024,-7645.47
21-02-2024,-8119.73
22-02-2024,-6101.15
23-02-2024,-2561.42
24-02-2024,-4382.73
25-02-2024,-1278
26-02-2024,-1749.79
27-02-2024,-2929.51
28-02-2024,-8926.38
29-02-2024,-7676.92
01-03-2024,-4657.7
02-03-2024,-5579.11
03-03-2024,-3293.01
04-03-2024,-7998.25
05-03-2024,-1093.89
06-03-2024,-3435.34
07-03-2024,-344.07
08-03-2024,-3897.17
09-03-2024,-5358.95
10-03-2024,-627.79
11-03-2024,-7418.82
12-03-2024,-453.39
13-03-2024,-2173.76
14-03-2024,-6452.14
15-03-2024,-5528.36
16-03-2024,-9939.94
17-03-2024,-7016.99
18-03-2024,-2026.32
19-03-2024,-7371.85
20-03-2024,-264.83
21-03-2024,-10001.66
22-03-2024,-9594.11
23-03-2024,-1329.41
24-03-2024,-11624.93
25-03-2024,-168.84
26-03-2024,-160.57
27-03-2024,-7135.64
28-03-2024,-469.14
29-03-2024,-7517.5
30-03-2024,-919.84
31-03-2024,-8013.63
01-04-2024,-5077.06
02-04-2024,-2791.2
03-04-2024,-7749.14
04-04-2024,-4516.76
05-04-2024,-2016.02
06-04-2024,-1959.52
07-04-2024,-3876.61
08-04-2024,-1790.27
09-04-2024,-711.47
10-04-2024,-12154.66
11-04-2024,-1546.22
12-04-2024,-7208.15
13-04-2024,-6485.78
14-04-2024,-3984.38
15-04-2024,-412.78
16-04-2024,-1058.13
17-04-2024,-6631.5
18-04-2024,-1661.68
19-04-2024,-312.19
20-04-2024,-10862.99
21-04-2024,-5414.87
22-04-2024,-3919.44
23-04-2024,-7315.34
24-04-2024,-3740.73
25-04-2024,-465.63
26-04-2024,-9992.36
27-04-2024,-5141.19
28-04-2024,-4317.85
29-04-2024,-5326.68
30-04-2024,-1636.32
01-05-2024,-7932.41
02-05-2024,-3927.69
03-05-2024,-588.5
04-05-2024,-6776.41
05-05-2024,-5529.92
06-05-2024,-9009.42
07-05-2024,-5994.87
08-05-2024,-5468.58
09-05-2024,-5677.52
10-05-2024,-2232.84
11-05-2024,-7739.54
12-05-2024,-6044.93
13-05-2024,-922.19
14-05-2024,-447.53
15-05-2024,-10778.35
16-05-2024,-7513.79
17-05-2024,-2051.25
18-05-2024,-1038.91
19-05-2024,-619.86
20-05-2024,-11320.83
21-05-2024,-14510.8
22-05-2024,-5103.67
23-05-2024,-13793.53
24-05-2024,-2403.39
25-05-2024,-3075.97
26-05-2024,-7835.4
27-05-2024,-414.43
28-05-2024,-6116.8
29-05-2024,-6067.62
30-05-2024,-7341.43
31-05-2024,-1454.08
01-06-2024,-1476.91
02-06-2024,-1943.13
03-06-2024,-1719.97
04-06-2024,-832.82
05-06-2024,-7696.16
06-06-2024,-6385.69
07-06-2024,-5472.03
08-06-2024,-8602.22
09-06-2024,-162.53
10-06-2024,-836.67
11-06-2024,-8557.32
12-06-2024,-1579.57
13-06-2024,-129.29
14-06-2024,-6474.41
15-06-2024,-1380.21
16-06-2024,-7487.79
17-06-2024,-7986.63
18-06-2024,-7322.01
19-06-2024,-9929.43
20-06-2024,-1830.98
21-06-2024,-7198.8
22-06-2024,-10980.38
23-06-2024,-6697.77
24-06-2024,-9410.99
25-06-2024,-6213.32
26-06-2024,-368.78
27-06-2024,-711.66
28-06-2024,-801.01
29-06-2024,-928.33
30-06-2024,-5839.38
01-07-2024,-3641.07
02-07-2024,-1352.19
03-07-2024,-7299.86
04-07-2024,-1503.56
05-07-2024,-5943.13
06-07-2024,-895.66
07-07-2024,-1061.96
08-07-2024,-1592.94
09-07-2024,-6215.96
10-07-2024,-6171.89
11-07-2024,-5987.67
12-07-2024,-14783.33
13-07-2024,-1806
14-07-2024,-13240.72
15-07-2024,-1408.07
16-07-2024,-271.78
17-07-2024,-9419.27
18-07-2024,-9551.64
19-07-2024,-1070.47
20-07-2024,-9374.24
21-07-2024,-6981.03
22-07-2024,-10483.93
23-07-2024,-9588.07
24-07-2024,-1238.11
25-07-2024,-1244.93
26-07-2024,-1040.25
27-07-2024,-5757.67
28-07-2024,-1712.65
29-07-2024,-1544.88
30-07-2024,-13293.83
31-07-2024,-8839.67
01-08-2024,-8459.18
02-08-2024,-9073.17
03-08-2024,-7561.33
04-08-2024,-9808.97
05-08-2024,-6324.09
06-08-2024,-13406
07-08-2024,-6581.55
08-08-2024,-3140.79
09-08-2024,-5670
10-08-2024,-220.51
11-08-2024,-3634.76
12-08-2024,-9239.12
13-08-2024,-666.42
14-08-2024,-7234.15
15-08-2024,-2049.51
16-08-2024,-8865.27
17-08-2024,-3908.47
18-08-2024,-5587.44
19-08-2024,-438.75
20-08-2024,-609.6
21-08-2024,-818.36
22-08-2024,-304.44
23-08-2024,-5515.32
24-08-2024,-1677.01
25-08-2024,-4055.55
26-08-2024,-9899.94
27-08-2024,-756.74
28-08-2024,-2620.74
29-08-2024,-11090.24
30-08-2024,-2174.16
31-08-2024,-874.15
01-09-2024,-6043.25
02-09-2024,-2766.12
03-09-2024,-8171.26
04-09-2024,-5401.21
05-09-2024,-3548.02
06-09-2024,-160.83
07-09-2024,-3806.16
08-09-2024,-6133.41
09-09-2024,-8802.97
10-09-2024,-1106.34
11-09-2024,-7949.03
12-09-2024,-259.77
13-09-2024,-2114.3
14-09-2024,-5495.3
15-09-2024,-8461.46
16-09-2024,-5058.83
17-09-2024,-8885
18-09-2024,-530.81
19-09-2024,-9379.53
20-09-2024,-6475.13
21-09-2024,-319.04
22-09-2024,-5298.85
23-09-2024,-490.57
24-09-2024,-11310.27
25-09-2024,-3988.75
26-09-2024,-7484.32
27-09-2024,-5963.1
28-09-2024,-10427
29-09-2024,-1100.06
30-09-2024,-910.26
01-10-2024,-6684.34
02-10-2024,-8524.09
03-10-2024,-5126.65
04-10-2024,-873.89
05-10-2024,-7059.77
06-10-2024,-11991.24
07-10-2024,-8086.04
08-10-2024,-12626.49
09-10-2024,-1730.28
10-10-2024,-3143.17
11-10-2024,-1242.49
12-10-2024,-416.89
13-10-2024,-5929.08
14-10-2024,-479.08
15-10-2024,-797.1
16-10-2024,-7287.94
17-10-2024,-2712.96
18-10-2024,-1433.66
19-10-2024,-7336.56
20-10-2024,-475.63
21-10-2024,-11698.15
22-10-2024,-12042.79
23-10-2024,-518.54
24-10-2024,-1258.93
25-10-2024,-9127.65
26-10-2024,-4471.05
27-10-2024,-6214.54
28-10-2024,-354.9
29-10-2024,-791.46
30-10-2024,-5878.89
31-10-2024,-533.2
01-11-2024,-897.94
02-11-2024,-9159.56
03-11-2024,-4392.73
04-11-2024,-1390.98
05-11-2024,-2008.77
06-11-2024,-6356.96
07-11-2024,-6009.12
08-11-2024,-7896.85
09-11-2024,-1649.43
10-11-2024,-2840.43
11-11-2024,-3274.96
12-11-2024,-6501.56
13-11-2024,-363.92
14-11-2024,-9748.48
15-11-2024,-1404.53
16-11-2024,-706.44
17-11-2024,-5095.73
18-11-2024,-7844.23
19-11-2024,-1119.61
20-11-2024,-5313.97
21-11-2024,-6227.99
22-11-2024,-6810.94
23-11-2024,-1457.07
24-11-2024,-813.68
25-11-2024,-10269.78
26-11-2024,-672.79
27-11-2024,-6372.58
28-11-2024,-2569.56
29-11-2024,-10585.48
30-11-2024,-717.99
01-12-2024,-3689.65
02-12-2024,-1512.16
03-12-2024,-9800.21
04-12-2024,-7014.69
05-12-2024,-3520.61
06-12-2024,-4913.42
07-12-2024,-9155.35
08-12-2024,-2567.53
09-12-2024,-3779.47
10-12-2024,-6530.59
11-12-2024,-7895.54
12-12-2024,-6781.3
13-12-2024,-2091.78
14-12-2024,-11108.39
15-12-2024,-9088.36
16-12-2024,-4671.69
17-12-2024,-7534.73
18-12-2024,-6353.14
19-12-2024,-13587.52
20-12-2024,-1351.24
21-12-2024,-2797.26
22-12-2024,-3728.04
23-12-2024,-6067.44
24-12-2024,-4292.16
25-12-2024,-3801.82
26-12-2024,-11869.71
27-12-2024,-9409.43
28-12-2024,-6003.59
29-12-2024,-3663.64
30-12-2024,-319.65
31-12-2024,-13446.81
01-01-2025,-4201.22
02-01-2025,-8870.89
03-01-2025,-906.2
04-01-2025,-9286.37
05-01-2025,-9733.59
06-01-2025,-2756.2
07-01-2025,-6655.15
08-01-2025,-3233.87
09-01-2025,-1676.57
10-01-2025,-8371.11
11-01-2025,-7281.46
12-01-2025,-6847.47
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
