Effective Timestamp,UBR L6 Name,Credit Amount,Debit Amount,Net Amount
2026-04-02 16:00:00,Corporate Bank,1591083.67,4745025.99,-3153942.3200000003
2026-04-02 17:00:00,Corporate Bank,1018290.12,2875146.97,-1856856.85
2026-04-02 18:00:00,Corporate Bank,544351.59,990816.08,-446464.49
2026-04-02 19:00:00,Corporate Bank,135475.46,546569.38,-411093.92000000004
2026-04-02 20:00:00,Corporate Bank,147863.61,248256.1,-100392.49000000002
2026-04-02 21:00:00,Corporate Bank,147090.93,177715.21,-30624.28
2026-04-02 22:00:00,Corporate Bank,146462.27,197687.82,-51225.55000000002
2026-04-02 23:00:00,Corporate Bank,127925.84,160640.39,-32714.550000000017
2026-04-03 00:00:00,Corporate Bank,140809.28,183884.8,-43075.51999999999
2026-04-03 01:00:00,Corporate Bank,261686.8,153072.78,108614.01999999999
2026-04-03 02:00:00,Corporate Bank,190723.08,163611.6,27111.47999999998
2026-04-03 03:00:00,Corporate Bank,135748.14,181697.77,-45949.629999999976
2026-04-03 04:00:00,Corporate Bank,191428.81,99735.73,91693.08
2026-04-03 05:00:00,Corporate Bank,381237.47,170698.36,210539.11
2026-04-03 06:00:00,Corporate Bank,836187.71,321045.04,515142.67
2026-04-03 07:00:00,Corporate Bank,2015963.0,835761.26,1180201.74
2026-04-03 08:00:00,Corporate Bank,6027892.14,2247951.66,3779940.4799999995
2026-04-03 09:00:00,Corporate Bank,4809337.75,6701129.12,-1891791.37
2026-04-03 10:00:00,Corporate Bank,3477644.84,4041104.2,-563459.3600000003
2026-04-03 11:00:00,Corporate Bank,3656076.97,6180870.09,-2524793.1199999996
2026-04-03 12:00:00,Corporate Bank,3705924.89,2111907.6,1594017.29
2026-04-03 13:00:00,Corporate Bank,2431980.03,2988725.1,-556745.0700000003
2026-04-03 14:00:00,Corporate Bank,4816159.93,4212668.15,603491.7799999993
2026-04-03 15:00:00,Corporate Bank,5412069.93,5291189.72,120880.20999999996
2026-04-03 16:00:00,Corporate Bank,3069394.52,42071603.59,-39002209.07
2026-04-03 17:00:00,Corporate Bank,2582689.08,3099254.76,-516565.6799999997
2026-04-03 18:00:00,Corporate Bank,803713.85,1089598.23,-285884.38
2026-04-03 19:00:00,Corporate Bank,393520.23,443770.4,-50250.17000000004
2026-04-03 20:00:00,Corporate Bank,403272.53,310085.45,93187.08000000002
2026-04-03 21:00:00,Corporate Bank,198895.93,157147.44,41748.48999999999
2026-04-03 22:00:00,Corporate Bank,164073.89,103809.2,60264.69000000002
2026-04-03 23:00:00,Corporate Bank,208948.93,106922.41,102026.51999999999
2026-04-04 00:00:00,Corporate Bank,7914.36,6830.44,1083.92
2026-04-04 01:00:00,Corporate Bank,9668.52,10447.65,-779.1299999999992
2026-04-04 02:00:00,Corporate Bank,7724.91,9394.05,-1669.1399999999994
2026-04-04 03:00:00,Corporate Bank,10857.72,11097.2,-239.48000000000138
2026-04-04 04:00:00,Corporate Bank,9641.12,8150.54,1490.5800000000008
2026-04-04 05:00:00,Corporate Bank,18773.14,11821.86,6951.279999999999
2026-04-04 06:00:00,Corporate Bank,71512.41,26761.38,44751.03
2026-04-04 07:00:00,Corporate Bank,146184.16,55356.37,90827.79000000001
2026-04-04 08:00:00,Corporate Bank,149804.09,167995.84,-18191.75
2026-04-04 09:00:00,Corporate Bank,211488.83,210515.74,973.0899999999965
2026-04-04 10:00:00,Corporate Bank,205393.74,281940.4,-76546.66000000003
2026-04-04 11:00:00,Corporate Bank,170508.61,247348.62,-76840.01000000001
2026-04-04 12:00:00,Corporate Bank,243034.03,146649.48,96384.54999999999
2026-04-04 13:00:00,Corporate Bank,281615.66,229464.59,52151.06999999998
2026-04-04 14:00:00,Corporate Bank,402674.76,209096.14,193578.62
2026-04-04 15:00:00,Corporate Bank,313695.5,267272.63,46422.869999999995
2026-04-04 16:00:00,Corporate Bank,221855.65,263140.79,-41285.139999999985
2026-04-04 17:00:00,Corporate Bank,95273.91,167580.1,-72306.19
2026-04-04 18:00:00,Corporate Bank,35283.08,88622.58,-53339.5
2026-04-04 19:00:00,Corporate Bank,21260.42,29697.31,-8436.890000000003
2026-04-04 20:00:00,Corporate Bank,13763.22,12667.69,1095.5299999999988
2026-04-04 21:00:00,Corporate Bank,10641.41,9749.83,891.5799999999999
2026-04-04 22:00:00,Corporate Bank,13726.2,5504.96,8221.240000000002
2026-04-04 23:00:00,Corporate Bank,4631.22,5838.92,-1207.6999999999998
2026-04-05 00:00:00,Corporate Bank,8578.94,6052.16,2526.7800000000007
2026-04-05 01:00:00,Corporate Bank,8540.61,6672.9,1867.710000000001
2026-04-05 02:00:00,Corporate Bank,119304.57,10148.04,109156.53
2026-04-05 03:00:00,Corporate Bank,15439.04,6875.08,8563.960000000001
2026-04-05 04:00:00,Corporate Bank,7587.91,8271.46,-683.5499999999993
2026-04-05 05:00:00,Corporate Bank,35228.52,16645.79,18582.729999999996
2026-04-05 06:00:00,Corporate Bank,44451.36,19933.53,24517.83
2026-04-05 07:00:00,Corporate Bank,108182.11,75781.2,32400.910000000003
2026-04-05 08:00:00,Corporate Bank,248961.69,110699.73,138261.96000000002
2026-04-05 09:00:00,Corporate Bank,297489.02,241412.46,56076.56000000003
2026-04-05 10:00:00,Corporate Bank,181559.53,236418.9,-54859.369999999995
2026-04-05 11:00:00,Corporate Bank,270059.08,250537.89,19521.190000000002
2026-04-05 12:00:00,Corporate Bank,263142.37,270126.28,-6983.910000000033
2026-04-05 13:00:00,Corporate Bank,361793.66,118091.63,243702.02999999997
2026-04-05 14:00:00,Corporate Bank,256854.25,274223.08,-17368.830000000016
2026-04-05 15:00:00,Corporate Bank,247326.02,285957.06,-38631.04000000001
2026-04-05 16:00:00,Corporate Bank,159385.84,190608.24,-31222.399999999994
2026-04-05 17:00:00,Corporate Bank,131714.38,94981.75,36732.630000000005
2026-04-05 18:00:00,Corporate Bank,14157.24,74173.72,-60016.48
2026-04-05 19:00:00,Corporate Bank,11472.56,26095.28,-14622.72
2026-04-05 20:00:00,Corporate Bank,10462.93,15422.81,-4959.879999999999
2026-04-05 21:00:00,Corporate Bank,6863.74,10051.49,-3187.75
2026-04-05 22:00:00,Corporate Bank,8675.38,14766.83,-6091.450000000001
2026-04-05 23:00:00,Corporate Bank,9013.6,8388.59,625.0100000000002
2026-04-06 00:00:00,Corporate Bank,128067.14,110342.17,17724.97
2026-04-06 01:00:00,Corporate Bank,159066.27,158289.0,777.2699999999895
2026-04-06 02:00:00,Corporate Bank,188787.82,160253.75,28534.070000000007
2026-04-06 03:00:00,Corporate Bank,149606.95,226040.58,-76433.62999999998
2026-04-06 04:00:00,Corporate Bank,170555.7,198383.92,-27828.22
2026-04-06 05:00:00,Corporate Bank,365836.68,209110.05,156726.63
2026-04-06 06:00:00,Corporate Bank,1050486.68,573457.66,477029.0199999999
2026-04-06 07:00:00,Corporate Bank,1506426.35,708661.11,797765.2400000001
2026-04-06 08:00:00,Corporate Bank,5112591.18,2015035.16,3097556.0199999996
2026-04-06 09:00:00,Corporate Bank,4764508.28,3240802.1,1523706.1800000002
2026-04-06 10:00:00,Corporate Bank,7051389.8,4661439.78,2389950.0199999996
2026-04-06 11:00:00,Corporate Bank,4422251.05,3058637.95,1363613.0999999996
2026-04-06 12:00:00,Corporate Bank,5081212.2,4233367.74,847844.46
2026-04-06 13:00:00,Corporate Bank,3245326.24,3091466.61,153859.63000000035
2026-04-06 14:00:00,Corporate Bank,37445227.73,2580616.71,34864611.019999996
2026-04-06 15:00:00,Corporate Bank,2873411.8,3272331.4,-398919.6000000001
2026-04-06 16:00:00,Corporate Bank,2169624.56,4171079.24,-2001454.6800000002
2026-04-06 17:00:00,Corporate Bank,1926151.99,3141170.44,-1215018.45
2026-04-06 18:00:00,Corporate Bank,862778.19,2202175.69,-1339397.5
2026-04-06 19:00:00,Corporate Bank,180550.82,1221911.35,-1041360.53
2026-04-06 20:00:00,Corporate Bank,151730.13,271450.0,-119719.87
2026-04-06 21:00:00,Corporate Bank,154852.98,123682.07,31170.910000000003
2026-04-06 22:00:00,Corporate Bank,186247.69,80290.12,105957.57
2026-04-06 23:00:00,Corporate Bank,92021.73,162780.56,-70758.83
2026-04-07 00:00:00,Corporate Bank,96443.8,117536.99,-21093.190000000002
2026-04-07 01:00:00,Corporate Bank,180705.4,132427.14,48278.25999999998
2026-04-07 02:00:00,Corporate Bank,87135.76,124852.18,-37716.42
2026-04-07 03:00:00,Corporate Bank,140450.1,144130.77,-3680.6699999999837
2026-04-07 04:00:00,Corporate Bank,205130.81,212611.13,-7480.320000000007
2026-04-07 05:00:00,Corporate Bank,435552.9,1021307.24,-585754.34
2026-04-07 06:00:00,Corporate Bank,1009009.38,352518.39,656490.99
2026-04-07 07:00:00,Corporate Bank,2275293.48,741971.05,1533322.43
2026-04-07 08:00:00,Corporate Bank,5735135.86,1477213.02,4257922.84
2026-04-07 09:00:00,Corporate Bank,5942063.63,3698403.62,2243660.01
2026-04-07 10:00:00,Corporate Bank,3977522.84,5155852.83,-1178329.9900000002
2026-04-07 11:00:00,Corporate Bank,3745854.19,7856604.53,-4110750.3400000003
2026-04-07 12:00:00,Corporate Bank,4012765.44,3638366.82,374398.6200000001
2026-04-07 13:00:00,Corporate Bank,7359472.01,4437691.34,2921780.67
2026-04-07 14:00:00,Corporate Bank,6172462.85,3453822.58,2718640.2699999996
2026-04-07 15:00:00,Corporate Bank,6005073.57,16780709.8,-10775636.23
2026-04-07 16:00:00,Corporate Bank,2232069.73,2842220.55,-610150.8199999998
2026-04-07 17:00:00,Corporate Bank,1130474.81,1965191.49,-834716.6799999999
2026-04-07 18:00:00,Corporate Bank,514551.92,2290952.06,-1776400.1400000001
2026-04-07 19:00:00,Corporate Bank,244051.8,398455.91,-154404.11
2026-04-07 20:00:00,Corporate Bank,128660.78,308277.97,-179617.18999999997
2026-04-07 21:00:00,Corporate Bank,231623.9,126937.85,104686.04999999999
2026-04-07 22:00:00,Corporate Bank,203649.68,201287.13,2362.5499999999884
2026-04-07 23:00:00,Corporate Bank,142346.53,168607.73,-26261.20000000001
2026-04-08 00:00:00,Corporate Bank,189118.48,143114.36,46004.120000000024
2026-04-08 01:00:00,Corporate Bank,166809.09,148177.52,18631.570000000007
2026-04-08 02:00:00,Corporate Bank,194052.23,123263.36,70788.87000000001
2026-04-08 03:00:00,Corporate Bank,107296.86,171877.14,-64580.28000000001
2026-04-08 04:00:00,Corporate Bank,187039.91,134716.92,52322.98999999999
2026-04-08 05:00:00,Corporate Bank,377852.88,130075.84,247777.04
2026-04-08 06:00:00,Corporate Bank,1269441.58,251970.49,1017471.0900000001
2026-04-08 07:00:00,Corporate Bank,2102873.58,1066121.66,1036751.9200000002
2026-04-08 08:00:00,Corporate Bank,2102781.44,3920775.56,-1817994.12
2026-04-08 09:00:00,Corporate Bank,3943169.3,4489723.55,-546554.25
2026-04-08 10:00:00,Corporate Bank,4741956.5,5056506.39,-314549.88999999966
2026-04-08 11:00:00,Corporate Bank,3775368.82,5036560.39,-1261191.5699999998
2026-04-08 12:00:00,Corporate Bank,36179133.45,5177141.5,31001991.950000003
2026-04-08 13:00:00,Corporate Bank,5234864.45,3529397.47,1705466.98
2026-04-08 14:00:00,Corporate Bank,4996111.49,3546609.67,1449501.8200000003
2026-04-08 15:00:00,Corporate Bank,4131003.14,6184604.35,-2053601.2099999995
2026-04-08 16:00:00,Corporate Bank,3733576.11,4317806.81,-584230.6999999997
2026-04-08 17:00:00,Corporate Bank,1108335.64,3872438.1,-2764102.46
2026-04-08 18:00:00,Corporate Bank,529442.9,1278128.49,-748685.59
2026-04-08 19:00:00,Corporate Bank,183768.14,353072.05,-169303.90999999997
2026-04-08 20:00:00,Corporate Bank,266469.19,159016.4,107452.79000000001
2026-04-08 21:00:00,Corporate Bank,178231.73,273104.4,-94872.67000000001
2026-04-08 22:00:00,Corporate Bank,126360.48,255279.8,-128919.31999999999
2026-04-08 23:00:00,Corporate Bank,150751.28,142342.17,8409.109999999986
2026-04-09 00:00:00,Corporate Bank,181772.47,133710.79,48061.67999999999
2026-04-09 01:00:00,Corporate Bank,144714.75,232542.52,-87827.76999999999
2026-04-09 02:00:00,Corporate Bank,133198.14,107624.23,25573.910000000018
2026-04-09 03:00:00,Corporate Bank,131974.59,114954.93,17019.660000000003
2026-04-09 04:00:00,Corporate Bank,216309.21,187291.98,29017.22999999998
2026-04-09 05:00:00,Corporate Bank,345329.9,166903.84,178426.06000000003
2026-04-09 06:00:00,Corporate Bank,918840.39,369132.88,549707.51
2026-04-09 07:00:00,Corporate Bank,1700661.91,963886.43,736775.4799999999
2026-04-09 08:00:00,Corporate Bank,4556397.8,2701573.74,1854824.0599999996
2026-04-09 09:00:00,Corporate Bank,5166149.72,6527592.57,-1361442.8500000006
2026-04-09 10:00:00,Corporate Bank,4385351.16,5384060.22,-998709.0599999996
2026-04-09 11:00:00,Corporate Bank,3931275.84,5607792.7,-1676516.8600000003
2026-04-09 12:00:00,Corporate Bank,4476898.97,1891558.17,2585340.8
2026-04-09 13:00:00,Corporate Bank,5424830.53,3256642.96,2168187.5700000003
2026-04-09 14:00:00,Corporate Bank,5754714.17,3115224.47,2639489.6999999997
2026-04-09 15:00:00,Corporate Bank,3880781.56,3078777.19,802004.3700000001
2026-04-09 16:00:00,Corporate Bank,2261463.12,2917347.89,-655884.77
2026-04-09 17:00:00,Corporate Bank,967265.66,2209840.81,-1242575.15
2026-04-09 18:00:00,Corporate Bank,462184.2,1592328.35,-1130144.1500000001
2026-04-09 19:00:00,Corporate Bank,256299.66,342439.51,-86139.85
2026-04-09 20:00:00,Corporate Bank,137510.59,241929.07,-104418.48000000001
2026-04-09 21:00:00,Corporate Bank,163065.51,143929.69,19135.820000000007
2026-04-09 22:00:00,Corporate Bank,116951.44,137959.28,-21007.839999999997
2026-04-09 23:00:00,Corporate Bank,94790.6,202941.33,-108150.72999999998
2026-04-10 00:00:00,Corporate Bank,199473.69,176279.36,23194.330000000016
2026-04-10 01:00:00,Corporate Bank,135321.83,224047.75,-88725.92000000001
2026-04-10 02:00:00,Corporate Bank,121640.37,143223.71,-21583.339999999997
2026-04-10 03:00:00,Corporate Bank,115669.54,122018.84,-6349.300000000003
2026-04-10 04:00:00,Corporate Bank,221834.4,144389.3,77445.1
2026-04-10 05:00:00,Corporate Bank,580789.73,202056.71,378733.02
2026-04-10 06:00:00,Corporate Bank,932918.26,389812.26,543106.0
2026-04-10 07:00:00,Corporate Bank,2380158.42,731202.13,1648956.29
2026-04-10 08:00:00,Corporate Bank,6139416.67,2508560.39,3630856.28
2026-04-10 09:00:00,Corporate Bank,3168825.44,4582579.93,-1413754.4899999998
2026-04-10 10:00:00,Corporate Bank,8713075.28,11150780.74,-2437705.460000001
2026-04-10 11:00:00,Corporate Bank,7710344.75,8117554.42,-407209.6699999999
2026-04-10 12:00:00,Corporate Bank,1588243.48,2708729.06,-1120485.58
2026-04-10 13:00:00,Corporate Bank,4268515.25,3031620.85,1236894.4
2026-04-10 14:00:00,Corporate Bank,3929517.77,2586324.34,1343193.4300000002
2026-04-10 15:00:00,Corporate Bank,3852822.97,3717176.29,135646.68000000017
2026-04-10 16:00:00,Corporate Bank,2364569.52,4173696.77,-1809127.25
2026-04-10 17:00:00,Corporate Bank,1687790.59,3507535.3,-1819744.7099999997
2026-04-10 18:00:00,Corporate Bank,533863.12,972098.06,-438234.94000000006
2026-04-10 19:00:00,Corporate Bank,193868.5,418957.26,-225088.76
2026-04-10 20:00:00,Corporate Bank,165327.98,125872.36,39455.62000000001
2026-04-10 21:00:00,Corporate Bank,184891.68,158503.39,26388.28999999998
2026-04-10 22:00:00,Corporate Bank,109538.86,110668.16,-1129.300000000003
2026-04-10 23:00:00,Corporate Bank,95211.21,128157.22,-32946.009999999995
2026-04-11 00:00:00,Corporate Bank,17018.02,6918.27,10099.75
2026-04-11 01:00:00,Corporate Bank,7720.21,8749.1,-1028.8900000000003
2026-04-11 02:00:00,Corporate Bank,9003.04,5312.33,3690.710000000001
2026-04-11 03:00:00,Corporate Bank,8551.8,5809.15,2742.6499999999996
2026-04-11 04:00:00,Corporate Bank,13818.88,17549.65,-3730.7700000000023
2026-04-11 05:00:00,Corporate Bank,39265.36,7661.15,31604.21
2026-04-11 06:00:00,Corporate Bank,75174.28,15962.57,59211.71
2026-04-11 07:00:00,Corporate Bank,96608.92,105390.2,-8781.279999999999
2026-04-11 08:00:00,Corporate Bank,176328.32,350172.82,-173844.5
2026-04-11 09:00:00,Corporate Bank,290368.22,180669.29,109698.92999999996
2026-04-11 10:00:00,Corporate Bank,267371.43,281501.33,-14129.900000000023
2026-04-11 11:00:00,Corporate Bank,132567.51,307288.42,-174720.90999999997
2026-04-11 12:00:00,Corporate Bank,274424.66,352625.44,-78200.78000000003
2026-04-11 13:00:00,Corporate Bank,190369.21,147466.33,42902.880000000005
2026-04-11 14:00:00,Corporate Bank,457847.36,223638.63,234208.72999999998
2026-04-11 15:00:00,Corporate Bank,432149.67,336205.39,95944.27999999997
2026-04-11 16:00:00,Corporate Bank,149303.33,259535.9,-110232.57
2026-04-11 17:00:00,Corporate Bank,90552.42,130929.01,-40376.59
2026-04-11 18:00:00,Corporate Bank,22894.93,69729.55,-46834.62
2026-04-11 19:00:00,Corporate Bank,18433.04,20249.57,-1816.5299999999988
2026-04-11 20:00:00,Corporate Bank,8995.45,13391.13,-4395.6799999999985
2026-04-11 21:00:00,Corporate Bank,6860.32,9218.84,-2358.5200000000004
2026-04-11 22:00:00,Corporate Bank,8595.03,9791.36,-1196.33
2026-04-11 23:00:00,Corporate Bank,8140.35,7629.95,510.40000000000055
2026-04-12 00:00:00,Corporate Bank,8490.11,10367.61,-1877.5
2026-04-12 01:00:00,Corporate Bank,12446.92,12195.22,251.70000000000073
2026-04-12 02:00:00,Corporate Bank,7412.56,9430.77,-2018.21
2026-04-12 03:00:00,Corporate Bank,16215.83,10024.92,6190.91
2026-04-12 04:00:00,Corporate Bank,7878.14,9414.08,-1535.9399999999996
2026-04-12 05:00:00,Corporate Bank,37454.8,11273.04,26181.760000000002
2026-04-12 06:00:00,Corporate Bank,46566.24,17864.49,28701.749999999996
2026-04-12 07:00:00,Corporate Bank,152303.72,66789.37,85514.35
2026-04-12 08:00:00,Corporate Bank,230563.41,142269.15,88294.26000000001
2026-04-12 09:00:00,Corporate Bank,295219.95,481106.52,-185886.57
2026-04-12 10:00:00,Corporate Bank,368527.72,504021.2,-135493.48000000004
2026-04-12 11:00:00,Corporate Bank,348495.53,311398.7,37096.830000000016
2026-04-12 12:00:00,Corporate Bank,306749.64,166980.99,139768.65000000002
2026-04-12 13:00:00,Corporate Bank,233551.98,142015.12,91536.86000000002
2026-04-12 14:00:00,Corporate Bank,309148.56,344108.75,-34960.19
2026-04-12 15:00:00,Corporate Bank,197938.99,288110.98,-90171.98999999999
2026-04-12 16:00:00,Corporate Bank,119461.12,263093.17,-143632.05
2026-04-12 17:00:00,Corporate Bank,56280.43,86845.12,-30564.689999999995
2026-04-12 18:00:00,Corporate Bank,29056.08,95870.92,-66814.84
2026-04-12 19:00:00,Corporate Bank,16476.3,35055.35,-18579.05
2026-04-12 20:00:00,Corporate Bank,5886.32,10307.95,-4421.630000000001
2026-04-12 21:00:00,Corporate Bank,9374.73,8668.6,706.1299999999992
2026-04-12 22:00:00,Corporate Bank,14772.87,9884.47,4888.4000000000015
2026-04-12 23:00:00,Corporate Bank,13106.79,9156.09,3950.7000000000007
2026-04-13 00:00:00,Corporate Bank,130883.19,137412.05,-6528.859999999986
2026-04-13 01:00:00,Corporate Bank,102608.25,145415.23,-42806.98000000001
2026-04-13 02:00:00,Corporate Bank,179491.54,139096.27,40395.27000000002
2026-04-13 03:00:00,Corporate Bank,80131.02,157390.03,-77259.01
2026-04-13 04:00:00,Corporate Bank,272616.65,240115.09,32501.560000000027
2026-04-13 05:00:00,Corporate Bank,360625.57,86990.75,273634.82
2026-04-13 06:00:00,Corporate Bank,1823713.06,344342.97,1479370.09
2026-04-13 07:00:00,Corporate Bank,1512473.54,1067377.6,445095.93999999994
2026-04-13 08:00:00,Corporate Bank,5863132.69,2668083.17,3195049.5200000005
2026-04-13 09:00:00,Corporate Bank,5292771.68,3827528.41,1465243.2699999996
2026-04-13 10:00:00,Corporate Bank,4372999.03,3093338.01,1279661.0200000005
2026-04-13 11:00:00,Corporate Bank,2455621.22,5100681.67,-2645060.4499999997
2026-04-13 12:00:00,Corporate Bank,4277010.59,5874715.37,-1597704.7800000003
2026-04-13 13:00:00,Corporate Bank,5383605.06,2085803.18,3297801.88
2026-04-13 14:00:00,Corporate Bank,8328964.71,5198752.52,3130212.1900000004
2026-04-13 15:00:00,Corporate Bank,5644336.93,4021354.78,1622982.15
2026-04-13 16:00:00,Corporate Bank,2243288.58,23619573.03,-21376284.450000003
2026-04-13 17:00:00,Corporate Bank,978958.36,1781201.18,-802242.82
2026-04-13 18:00:00,Corporate Bank,366267.17,1094272.44,-728005.27
2026-04-13 19:00:00,Corporate Bank,396398.32,752970.64,-356572.32
2026-04-13 20:00:00,Corporate Bank,137845.64,285502.76,-147657.12
2026-04-13 21:00:00,Corporate Bank,247003.82,279854.34,-32850.52000000002
2026-04-13 22:00:00,Corporate Bank,182895.95,216693.53,-33797.57999999999
2026-04-13 23:00:00,Corporate Bank,172248.58,171368.4,880.179999999993
2026-04-14 00:00:00,Corporate Bank,142280.43,253107.87,-110827.44
2026-04-14 01:00:00,Corporate Bank,190220.15,171115.32,19104.829999999987
2026-04-14 02:00:00,Corporate Bank,155638.77,192319.1,-36680.330000000016
2026-04-14 03:00:00,Corporate Bank,143757.45,137549.93,6207.520000000019
2026-04-14 04:00:00,Corporate Bank,240765.1,157532.93,83232.17000000001
2026-04-14 05:00:00,Corporate Bank,368236.29,152409.69,215826.59999999998
2026-04-14 06:00:00,Corporate Bank,828601.48,497486.5,331114.98
2026-04-14 07:00:00,Corporate Bank,3039776.81,710888.26,2328888.55
2026-04-14 08:00:00,Corporate Bank,4366861.18,3087208.26,1279652.92
2026-04-14 09:00:00,Corporate Bank,6316515.5,4041428.94,2275086.56
2026-04-14 10:00:00,Corporate Bank,4214817.33,7445735.36,-3230918.0300000003
2026-04-14 11:00:00,Corporate Bank,2576923.95,5790601.91,-3213677.96
2026-04-14 12:00:00,Corporate Bank,6019788.48,6041464.17,-21675.68999999948
2026-04-14 13:00:00,Corporate Bank,6990139.01,4114613.18,2875525.8299999996
2026-04-14 14:00:00,Corporate Bank,6355599.99,2503421.05,3852178.9400000004
2026-04-14 15:00:00,Corporate Bank,3713201.51,4349628.63,-636427.1200000001
2026-04-14 16:00:00,Corporate Bank,2449823.82,2671175.13,-221351.31000000006
2026-04-14 17:00:00,Corporate Bank,2002889.39,2091065.11,-88175.7200000002
2026-04-14 18:00:00,Corporate Bank,496588.37,1903691.86,-1407103.4900000002
2026-04-14 19:00:00,Corporate Bank,210752.71,617249.3,-406496.5900000001
2026-04-14 20:00:00,Corporate Bank,305288.49,194372.42,110916.06999999998
2026-04-14 21:00:00,Corporate Bank,156183.49,122788.16,33395.32999999999
2026-04-14 22:00:00,Corporate Bank,265581.93,153714.21,111867.72
2026-04-14 23:00:00,Corporate Bank,102560.23,104284.38,-1724.1500000000087
2026-04-15 00:00:00,Corporate Bank,182238.44,122644.92,59593.520000000004
2026-04-15 01:00:00,Corporate Bank,290413.28,164719.27,125694.01000000004
2026-04-15 02:00:00,Corporate Bank,157764.62,212162.63,-54398.01000000001
2026-04-15 03:00:00,Corporate Bank,148367.18,180473.99,-32106.809999999998
2026-04-15 04:00:00,Corporate Bank,137647.32,77655.62,59991.70000000001
2026-04-15 05:00:00,Corporate Bank,531987.18,205842.1,326145.0800000001
2026-04-15 06:00:00,Corporate Bank,835642.86,377776.71,457866.14999999997
2026-04-15 07:00:00,Corporate Bank,2467963.94,1146161.07,1321802.8699999999
2026-04-15 08:00:00,Corporate Bank,3073722.9,3964679.46,-890956.56
2026-04-15 09:00:00,Corporate Bank,8702088.78,2304404.2,6397684.579999999
2026-04-15 10:00:00,Corporate Bank,6829352.07,4388275.29,2441076.7800000003
2026-04-15 11:00:00,Corporate Bank,3668773.41,5519280.14,-1850506.7299999995
2026-04-15 12:00:00,Corporate Bank,2530166.86,2177057.57,353109.29000000004
2026-04-15 13:00:00,Corporate Bank,6967727.52,5145369.24,1822358.2799999993
2026-04-15 14:00:00,Corporate Bank,4368507.01,27205533.38,-22837026.369999997
2026-04-15 15:00:00,Corporate Bank,2994197.35,5721045.78,-2726848.43
