timestamp,sarimax_forecast,seasonal_naive_forecast,ensemble_forecast,UBR L6 Name,Side
2026-07-01 23:00:00,1406131.3603084648,164098.6,785114.9801542325,Corporate Bank,Debit
2026-07-01 00:00:00,1158641.5193615078,214767.83,686704.674680754,Corporate Bank,Credit
2026-07-01 01:00:00,1237966.110429254,133903.98,685935.0452146269,Corporate Bank,Credit
2026-07-01 02:00:00,1330160.078024942,114811.48,722485.779012471,Corporate Bank,Credit
2026-07-01 03:00:00,1398276.2281461759,186855.48,792565.8540730879,Corporate Bank,Credit
2026-07-01 04:00:00,1490088.3552608714,179745.57,834916.9626304357,Corporate Bank,Credit
2026-07-01 05:00:00,1736088.082803034,424501.3,1080294.691401517,Corporate Bank,Credit
2026-07-01 06:00:00,2349720.9706473174,1315881.16,1832801.0653236588,Corporate Bank,Credit
2026-07-01 07:00:00,3469227.8419139185,2142350.3,2805789.0709569594,Corporate Bank,Credit
2026-07-01 08:00:00,4964657.610595614,3184858.25,4074757.930297807,Corporate Bank,Credit
2026-07-01 09:00:00,5694956.150519708,6124151.69,5909553.920259854,Corporate Bank,Credit
2026-07-01 10:00:00,5182691.100421725,4115448.64,4649069.870210863,Corporate Bank,Credit
2026-07-01 11:00:00,4214925.336579937,3869640.26,4042282.798289968,Corporate Bank,Credit
2026-07-01 12:00:00,4454109.79790047,2390570.41,3422340.103950235,Corporate Bank,Credit
2026-07-01 13:00:00,5404132.584961881,4074965.18,4739548.882480941,Corporate Bank,Credit
2026-07-01 14:00:00,5078387.518123839,6041705.81,5560046.664061919,Corporate Bank,Credit
2026-07-01 15:00:00,4354586.108422517,5002898.29,4678742.199211258,Corporate Bank,Credit
2026-07-01 16:00:00,3669215.7146765846,2116162.09,2892688.9023382924,Corporate Bank,Credit
2026-07-01 17:00:00,2466767.2012070324,931846.93,1699307.0656035163,Corporate Bank,Credit
2026-07-01 18:00:00,1952191.2135385883,554817.68,1253504.446769294,Corporate Bank,Credit
2026-07-01 19:00:00,1696955.5101873602,301497.62,999226.56509368,Corporate Bank,Credit
2026-07-01 20:00:00,1586837.7924260197,196593.74,891715.7662130098,Corporate Bank,Credit
2026-07-01 21:00:00,1522246.9359965639,135868.42,829057.6779982819,Corporate Bank,Credit
2026-07-01 22:00:00,1467696.7226977989,170842.68,819269.7013488994,Corporate Bank,Credit
2026-07-01 23:00:00,1453309.383388239,244857.02,849083.2016941195,Corporate Bank,Credit
2026-07-01 00:00:00,2855113.0137330587,354366.68,1604739.8468665294,FIC Trading,Debit
2026-07-01 01:00:00,2752242.181330814,232424.95,1492333.565665407,FIC Trading,Debit
2026-07-01 02:00:00,2920477.480921635,173307.75,1546892.6154608175,FIC Trading,Debit
2026-07-01 03:00:00,2778167.259960881,203905.66,1491036.4599804406,FIC Trading,Debit
2026-07-01 04:00:00,2835450.270137951,450729.91,1643090.0900689755,FIC Trading,Debit
2026-07-01 05:00:00,2922852.1587086497,186586.39,1554719.274354325,FIC Trading,Debit
2026-07-01 06:00:00,3247209.6053362284,574519.96,1910864.7826681142,FIC Trading,Debit
2026-07-01 07:00:00,5629317.974882223,3412280.45,4520799.212441111,FIC Trading,Debit
2026-07-01 08:00:00,8138445.012873038,6036618.92,7087531.966436518,FIC Trading,Debit
2026-07-01 09:00:00,8565349.98679638,5642330.62,7103840.30339819,FIC Trading,Debit
2026-07-01 10:00:00,7760367.758378759,7887241.9,7823804.82918938,FIC Trading,Debit
2026-07-01 11:00:00,5051027.814928036,3810027.11,4430527.462464018,FIC Trading,Debit
2026-07-01 12:00:00,4623257.495246988,2049377.96,3336317.727623494,FIC Trading,Debit
2026-07-01 13:00:00,7426548.516075462,2899274.88,5162911.6980377305,FIC Trading,Debit
2026-07-01 14:00:00,7526168.292364279,5666436.02,6596302.156182139,FIC Trading,Debit
2026-07-01 15:00:00,9483322.790004345,9129113.89,9306218.340002172,FIC Trading,Debit
2026-07-01 16:00:00,7967952.14884449,4307198.63,6137575.389422245,FIC Trading,Debit
2026-07-01 17:00:00,6761703.157011119,6908888.2,6835295.678505559,FIC Trading,Debit
2026-07-01 18:00:00,5923533.816101911,6870722.49,6397128.153050955,FIC Trading,Debit
2026-07-01 19:00:00,7456966.776719885,4854982.43,6155974.603359942,FIC Trading,Debit
2026-07-01 20:00:00,8788787.814570466,7103309.63,7946048.722285233,FIC Trading,Debit
2026-07-01 21:00:00,6533796.757323667,7643427.62,7088612.188661834,FIC Trading,Debit
2026-07-01 22:00:00,4855893.903365272,5366746.92,5111320.411682636,FIC Trading,Debit
2026-07-01 23:00:00,3660566.677251254,1814214.82,2737390.7486256273,FIC Trading,Debit
2026-07-01 00:00:00,2875136.6005802415,298560.72,1586848.6602901206,FIC Trading,Credit
2026-07-01 01:00:00,2867396.307947438,216978.74,1542187.5239737192,FIC Trading,Credit
2026-07-01 02:00:00,2946551.6512468336,1859308.93,2402930.2906234167,FIC Trading,Credit
2026-07-01 03:00:00,2884571.236865084,207293.69,1545932.463432542,FIC Trading,Credit
2026-07-01 04:00:00,2870163.5897720098,346222.62,1608193.104886005,FIC Trading,Credit
2026-07-01 05:00:00,2965539.495549118,418589.57,1692064.532774559,FIC Trading,Credit
2026-07-01 06:00:00,3335913.137765111,407791.37,1871852.2538825555,FIC Trading,Credit
2026-07-01 07:00:00,5156962.327109503,1462784.21,3309873.2685547513,FIC Trading,Credit
2026-07-01 08:00:00,8586348.798817413,11108548.02,9847448.409408707,FIC Trading,Credit
2026-07-01 09:00:00,9870312.181890354,10056130.12,9963221.150945175,FIC Trading,Credit
2026-07-01 10:00:00,7805003.1244829,18176936.33,12990969.727241449,FIC Trading,Credit
2026-07-01 11:00:00,5146112.073159417,1504381.7,3325246.8865797087,FIC Trading,Credit
2026-07-01 12:00:00,4165577.6208736314,1913534.66,3039556.1404368156,FIC Trading,Credit
2026-07-01 13:00:00,5386597.969080272,2348257.0,3867427.484540136,FIC Trading,Credit
2026-07-01 14:00:00,8785445.98209823,5805592.9,7295519.441049115,FIC Trading,Credit
2026-07-01 15:00:00,9426209.64762488,7926040.51,8676125.078812439,FIC Trading,Credit
2026-07-01 16:00:00,9530583.176171282,6450555.86,7990569.518085642,FIC Trading,Credit
2026-07-01 17:00:00,5960429.025272574,6356310.98,6158370.002636287,FIC Trading,Credit
2026-07-01 18:00:00,5857530.575211088,7326692.98,6592111.777605545,FIC Trading,Credit
2026-07-01 19:00:00,7472288.731034834,4611809.4,6042049.065517417,FIC Trading,Credit
2026-07-01 20:00:00,9578974.339951485,4378518.26,6978746.299975743,FIC Trading,Credit
2026-07-01 21:00:00,7719704.742747832,5996179.64,6857942.191373916,FIC Trading,Credit
2026-07-01 22:00:00,4963885.1561533855,4955281.45,4959583.303076693,FIC Trading,Credit
2026-07-01 23:00:00,3596887.774797911,936546.07,2266716.9223989556,FIC Trading,Credit
2026-07-01 00:00:00,305005.7867336456,90184.42,197595.1033668228,Corporate Cash Management,Debit
2026-07-01 01:00:00,350250.8920739932,68492.84,209371.8660369966,Corporate Cash Management,Debit
2026-07-01 02:00:00,375939.6168705934,76507.25,226223.4334352967,Corporate Cash Management,Debit
2026-07-01 03:00:00,376225.75452322577,98521.36,237373.55726161288,Corporate Cash Management,Debit
2026-07-01 04:00:00,382473.89904408786,76469.8,229471.84952204392,Corporate Cash Management,Debit
2026-07-01 05:00:00,386015.46121541184,94348.65,240182.0556077059,Corporate Cash Management,Debit
2026-07-01 06:00:00,388746.2775302386,71886.56,230316.4187651193,Corporate Cash Management,Debit
2026-07-01 07:00:00,382458.3674979032,100752.51,241605.4387489516,Corporate Cash Management,Debit
2026-07-01 08:00:00,390626.7807762011,102650.48,246638.63038810054,Corporate Cash Management,Debit
2026-07-01 09:00:00,382724.9725700709,59912.64,221318.80628503545,Corporate Cash Management,Debit
2026-07-01 10:00:00,385065.1025059287,91527.26,238296.18125296436,Corporate Cash Management,Debit
2026-07-01 11:00:00,381633.40601097676,61521.87,221577.63800548838,Corporate Cash Management,Debit
2026-07-01 12:00:00,386174.2872740483,56517.96,221346.12363702417,Corporate Cash Management,Debit
2026-07-01 13:00:00,387511.99428692204,77685.7,232598.84714346103,Corporate Cash Management,Debit
2026-07-01 14:00:00,390528.04377246345,194303.15,292415.59688623174,Corporate Cash Management,Debit
2026-07-01 15:00:00,488656.1517655839,269258.47,378957.31088279194,Corporate Cash Management,Debit
2026-07-01 16:00:00,1060137.6364716764,1506849.98,1283493.808235838,Corporate Cash Management,Debit
2026-07-01 17:00:00,2197739.20960183,3187209.71,2692474.459800915,Corporate Cash Management,Debit
2026-07-01 18:00:00,2374215.054045085,2881763.83,2627989.4420225425,Corporate Cash Management,Debit
2026-07-01 19:00:00,1328649.5849425052,1330883.83,1329766.7074712527,Corporate Cash Management,Debit
2026-07-01 20:00:00,461820.7920625814,189034.95,325427.87103129074,Corporate Cash Management,Debit
2026-07-01 21:00:00,397040.3448925877,108616.01,252828.17744629385,Corporate Cash Management,Debit
2026-07-01 22:00:00,392798.7226433286,120955.02,256876.8713216643,Corporate Cash Management,Debit
2026-07-01 23:00:00,380854.3818643058,107197.63,244026.0059321529,Corporate Cash Management,Debit
2026-07-01 00:00:00,335324.0255344597,47707.65,191515.83776722985,Corporate Cash Management,Credit
2026-07-01 01:00:00,371965.08619323926,92665.92,232315.50309661962,Corporate Cash Management,Credit
2026-07-01 02:00:00,406878.9439419137,98328.12,252603.53197095686,Corporate Cash Management,Credit
2026-07-01 03:00:00,419694.8135078698,91544.26,255619.5367539349,Corporate Cash Management,Credit
2026-07-01 04:00:00,423637.6386015677,79618.18,251627.90930078385,Corporate Cash Management,Credit
2026-07-01 05:00:00,443384.7281468923,74321.66,258853.19407344615,Corporate Cash Management,Credit
2026-07-01 06:00:00,433629.2921738527,91803.75,262716.52108692634,Corporate Cash Management,Credit
2026-07-01 07:00:00,433842.5453483776,76106.25,254974.3976741888,Corporate Cash Management,Credit
2026-07-01 08:00:00,453119.19649209874,113854.87,283487.03324604937,Corporate Cash Management,Credit
2026-07-01 09:00:00,422170.2262923053,91188.05,256679.13814615263,Corporate Cash Management,Credit
2026-07-01 10:00:00,411376.40796905325,60426.82,235901.61398452663,Corporate Cash Management,Credit
2026-07-01 11:00:00,403859.0073918183,97200.36,250529.68369590913,Corporate Cash Management,Credit
2026-07-01 12:00:00,408346.84152483265,103147.12,255746.98076241632,Corporate Cash Management,Credit
2026-07-01 13:00:00,393920.2337134332,139551.13,266735.68185671663,Corporate Cash Management,Credit
2026-07-01 14:00:00,389781.67505855917,125840.44,257811.05752927958,Corporate Cash Management,Credit
2026-07-01 15:00:00,469788.43569165084,183083.42,326435.92784582544,Corporate Cash Management,Credit
2026-07-01 16:00:00,1207565.2597751464,1570260.91,1388913.084887573,Corporate Cash Management,Credit
2026-07-01 17:00:00,2930821.7308371565,2000352.63,2465587.180418578,Corporate Cash Management,Credit
2026-07-01 18:00:00,2649539.4533328223,2848729.94,2749134.696666411,Corporate Cash Management,Credit
2026-07-01 19:00:00,1203905.3495337302,1327506.28,1265705.8147668652,Corporate Cash Management,Credit
2026-07-01 20:00:00,488797.52765606786,330064.62,409431.0738280339,Corporate Cash Management,Credit
2026-07-01 21:00:00,396499.4430063358,160005.03,278252.2365031679,Corporate Cash Management,Credit
2026-07-01 22:00:00,400644.49132106267,128074.88,264359.68566053134,Corporate Cash Management,Credit
2026-07-01 23:00:00,400452.36941861734,89878.15,245165.25970930868,Corporate Cash Management,Credit
